hap_seq habitat Form
ind262_h2 coastal_savannah M
ind263_h1 coastal_savannah M
ind263_h2 coastal_savannah M
ind264_h1 deciduous_forest S
ind264_h2 deciduous_forest S
ind265_h1 deciduous_forest M
ind265_h2 deciduous_forest M
ind266_h1 deciduous_forest S
ind266_h2 deciduous_forest S
ind267_h1 coastal_savannah M
ind267_h2 coastal_savannah M
ind268_h1 coastal_savannah M
ind268_h2 coastal_savannah M
ind269_h1 deciduous_forest S
ind269_h2 deciduous_forest S
ind270_h1 rainforest M
ind270_h2 rainforest M
ind271_h1 rainforest M
ind271_h2 rainforest M
ind272_h1 rainforest M
ind272_h2 rainforest M
ind273_h1 rainforest M
ind273_h2 rainforest M
ind274_h1 rainforest M
ind274_h2 rainforest M
ind275_h1 mangrove_swamp M
ind275_h2 mangrove_swamp M
ind276_h1 rainforest M
ind276_h2 rainforest M
ind277_h1 rainforest M
ind277_h2 rainforest M
ind278_h1 rainforest M
ind278_h2 rainforest M
ind279_h1 rainforest S
ind279_h2 rainforest S
ind280_h1 rainforest M
ind280_h2 rainforest M
ind281_h1 rainforest S
ind281_h2 rainforest S
ind282_h1 rainforest M
ind282_h2 rainforest M
ind283_h1 rainforest M
ind283_h2 rainforest M
ind284_h1 rainforest S
ind284_h2 rainforest S
ind285_h1 rainforest S
ind285_h2 rainforest S
ind286_h1 rainforest M
ind286_h2 rainforest M
ind287_h1 rainforest S
ind287_h2 rainforest S
ind288_h1 rainforest M
ind288_h2 rainforest M
ind289_h1 deciduous_forest S
ind289_h2 deciduous_forest S
ind290_h1 coastal_savannah S
ind290_h2 coastal_savannah S
ind291_h1 deciduous_forest S
ind291_h2 deciduous_forest S
ind292_h1 coastal_savannah M
ind292_h2 coastal_savannah M
ind293_h1 coastal_savannah S
ind293_h2 coastal_savannah S
ind294_h1 deciduous_forest S
ind294_h2 deciduous_forest S
ind295_h1 coastal_savannah S
ind295_h2 coastal_savannah S
ind296_h1 coastal_savannah M
ind296_h2 coastal_savannah M
ind297_h1 coastal_savannah S
ind297_h2 coastal_savannah S
ind298_h1 coastal_savannah M
ind298_h2 coastal_savannah M
ind299_h1 deciduous_forest S
ind299_h2 deciduous_forest S
ind300_h1 coastal_savannah S
ind300_h2 coastal_savannah S
ind301_h1 rainforest S
ind301_h2 rainforest S
ind302_h1 rainforest S
ind302_h2 rainforest S
ind303_h1 rainforest S
ind303_h2 rainforest S
ind304_h1 rainforest S
ind304_h2 rainforest S
ind305_h1 deciduous_forest S
ind305_h2 deciduous_forest S
ind306_h1 rainforest M
ind306_h2 rainforest M
ind307_h1 rainforest S
ind307_h2 rainforest S
ind308_h1 rainforest S
ind308_h2 rainforest S
ind309_h1 rainforest M
ind309_h2 rainforest M
ind310_h1 coastal_savannah S
ind310_h2 coastal_savannah S
ind311_h1 coastal_savannah S
ind311_h2 coastal_savannah S
ind312_h1 coastal_savannah S
ind312_h2 coastal_savannah S
ind313_h1 coastal_savannah S
ind313_h2 coastal_savannah S
