Node label	Matching Sequences
	DW-Dod16_h1
	DW-Dod16_h2
	DW-Dod18_h1
	DW-Dod8_h1
	DW-Dzo15_h2
	DW-Dzo9_h1
	DW-Enc10_h2
	DW-Enc14_h1
	DW-Enc4_h1
	DW-Nkw5_h1
	DW-Nkw6_h1
	DW-Nkw8_h2
	DW-Nsa2_h2
	DW-Nsa4_h1
	DW-Nsa6_h1
	DW-Nsa9_h1
109-DW-OBP1-14_h1	109-DW-OBP1-14_h1
	112-DW-OBP1-18_h1
	131-DW-AnB-16_h2
	140-DW-NeA-49_h2
	141-DW-NeA-50_h1
	143-DW-NeA-52_h1
	146-DW-NeA-55_h1
	147-DW-NeA-57_h1
	147-DW-NeA-57_h2
	180-DW-NeA-4_h2
	181-DW-NeA-5_h1
	188-DW-NeA-19_h1
	188-DW-NeA-19_h2
	30-DW-Tub6_h1
	3-DW-Suh7_h1
	55-DW-WE8_h1
	56-DW-WE9_h2
	5-DW-Suh12_h2
	6-DW-Suh18_h2
	81-DW-Mad66_h1
	92-DW-Kom3_h2
	94-DW-Kom12_h2
	DW-AF2_h1
	DW-AF4_h2
	DW-AF7_h1
	DW-AF7_h2
	DW-AgD34_h1
	DW-AgD34_h2
	DW-AgD37_h2
	DW-AgD4_h2
	DW-AgD5_h2
	DW-Aka20_h2
	DW-Asi11_h1
	DW-Asi11_h2
	DW-Asi5_h1
	DW-Asi5_h2
	DW-Bog13_h1
	DW-Bog15_h2
	DW-Bog25_h1
	DW-Bog25_h2
	DW-Bog2_h2
	DW-Bog5_h2
	DW-Bog6_h1
	DW-Bog8_h2
	DW-Dod2_h1
	DW-Dod9_h2
	DW-Dzo11_h1
	DW-Dzo11_h2
	DW-Dzo12_h1
	DW-Dzo12_h2
	DW-Dzo6_h2
	DW-Dzo9_h2
	DW-Enc14_h2
	DW-Enc16_h1
	DW-Enc18_h1
	DW-Enc2_h1
	DW-Enc4_h2
	DW-HA6_h1
	DW-Kof10_h1
	DW-Kof12_h2
	DW-Kof16_h1
	DW-Kof18_h1
	DW-Kof18_h2
	DW-Kof19_h1
	DW-Kof20_h1
	DW-Kof20_h2
	DW-Kof21_h1
	DW-Kof21_h2
	DW-Nkw1_h1
	DW-Nkw1_h2
	DW-Nkw2_h1
	DW-Nkw2_h2
	DW-Nkw3_h1
	DW-Nkw4_h1
	DW-Nkw5_h2
	DW-Nkw6_h2
	DW-Nkw7_h1
	DW-Nkw7_h2
	DW-Nsa10_h1
	DW-Nsa11_h2
	DW-Nsa12_h1
	DW-Nsa2_h1
	DW-Nsa5_h2
	DW-Nsa6_h2
	DW-Nsa9_h2
105-DW-OBP1-9_h2	105-DW-OBP1-9_h2
	DW-Bog8_h1
122-DW-AnB-7_h1	122-DW-AnB-7_h1
	181-DW-NeA-5_h2
	81-DW-Mad66_h2
	DW-AF3_h1
69-DW-Mad54_h2	69-DW-Mad54_h2
	76-DW-Mad61_h1
	DW-Dod11_h2
71-DW-Mad56_h2	71-DW-Mad56_h2
	DW-Asi9_h1
7-DW-Suh19_h2	7-DW-Suh19_h2
	DW-AF17_h1
72-DW-Mad57_h1	72-DW-Mad57_h1
	83-DW-Mad68_h2
	DW-Bog12_h2
75-DW-Mad60_h1	75-DW-Mad60_h1
	84-DW-Mad69_h1
183-DW-NeA-9_h2	183-DW-NeA-9_h2
	DW-AF24_h1
	DW-Nsa5_h1
22-DW-Tak6_h1	22-DW-Tak6_h1
	31-DW-Tub7_h1
157-DW-DoM-2_h1	157-DW-DoM-2_h1
	44-DW-TP7_h2
	DW-Man12_h1
	DW-Nsa13_h1
26-DW-Tub2_h2	26-DW-Tub2_h2
	DW-Anl17_h2
	DW-Dzo8_h1
14-DW-Tar10_h1	14-DW-Tar10_h1
	43-DW-TP6_h2
	DW-Asa5_h2
	DW-Mam2_h2
10-DW-Tar5_h2	10-DW-Tar5_h2
	11-DW-Tar6_h1
	120-DW-AnB-5_h1
	120-DW-AnB-5_h2
	123-DW-AnB-8_h2
	125-DW-AnB-10_h1
